time,open,high,low,close,tick_volume,spread
2021-05-09 00:00:00,1.39981,1.4043700000000001,1.39916,1.40397,1653,0
2021-05-10 00:00:00,1.40401,1.41574,1.40143,1.4129800000000001,50740,0
2021-05-11 00:00:00,1.41302,1.41657,1.41036,1.41348,51643,0
2021-05-12 00:00:00,1.41351,1.41523,1.4048,1.40618,65122,0
2021-05-13 00:00:00,1.4062000000000001,1.4077600000000001,1.40049,1.40455,57940,0
2021-05-14 00:00:00,1.40459,1.41106,1.40355,1.4097,44823,0
2021-05-16 00:00:00,1.4095,1.41033,1.409,1.41002,882,0
2021-05-17 00:00:00,1.41,1.4147,1.40766,1.41468,41701,0
2021-05-18 00:00:00,1.41473,1.42201,1.41449,1.41867,44905,0
2021-05-19 00:00:00,1.4187,1.4200300000000001,1.40985,1.41069,66848,0
2021-05-20 00:00:00,1.41069,1.41921,1.41007,1.41842,49814,0
2021-05-21 00:00:00,1.41844,1.4233500000000001,1.414,1.41493,50431,0
2021-05-23 00:00:00,1.4148399999999999,1.41538,1.4133499999999999,1.41395,1161,0
2021-05-24 00:00:00,1.41397,1.41711,1.41094,1.41547,41798,0
2021-05-25 00:00:00,1.41548,1.42102,1.41151,1.4142000000000001,50327,0
2021-05-26 00:00:00,1.41422,1.41756,1.41119,1.41146,46263,0
2021-05-27 00:00:00,1.4114900000000001,1.42187,1.40913,1.42025,53109,0
2021-05-28 00:00:00,1.42027,1.42051,1.4136,1.41879,56781,0
2021-05-30 00:00:00,1.41784,1.4188,1.4176199999999999,1.4179,625,0
2021-05-31 00:00:00,1.41792,1.42279,1.4163299999999999,1.42264,36760,0
2021-06-01 00:00:00,1.42266,1.42482,1.41426,1.4155,59065,0
2021-06-02 00:00:00,1.41552,1.41828,1.41102,1.41703,48104,0
2021-06-03 00:00:00,1.41706,1.42025,1.40859,1.41075,59865,0
2021-06-04 00:00:00,1.41078,1.41998,1.40822,1.41577,54505,0
2021-06-06 00:00:00,1.41505,1.41648,1.4148,1.4163700000000001,1288,0
2021-06-07 00:00:00,1.41639,1.41903,1.41109,1.4175200000000001,42618,0
2021-06-08 00:00:00,1.41753,1.41841,1.41204,1.41487,43688,0
2021-06-09 00:00:00,1.4148800000000001,1.4188399999999999,1.41071,1.41106,37713,0
2021-06-10 00:00:00,1.4110800000000001,1.41778,1.40726,1.41697,58474,0
2021-06-11 00:00:00,1.417,1.41848,1.40952,1.41113,41346,0
2021-06-13 00:00:00,1.4101,1.41184,1.40998,1.4117,960,0
2021-06-14 00:00:00,1.4117199999999999,1.41234,1.40696,1.4109099999999999,35541,0
2021-06-15 00:00:00,1.41093,1.41283,1.40337,1.40802,43014,0
2021-06-16 00:00:00,1.40804,1.41322,1.39801,1.39885,62007,0
2021-06-17 00:00:00,1.39887,1.40082,1.38953,1.39374,67121,0
2021-06-18 00:00:00,1.3937599999999999,1.39439,1.37916,1.37977,68737,0
2021-06-20 00:00:00,1.38006,1.38227,1.37913,1.38158,1640,0
2021-06-21 00:00:00,1.3816,1.39363,1.3786,1.39238,60617,0
2021-06-22 00:00:00,1.3924,1.39632,1.38597,1.3948800000000001,49350,0
2021-06-23 00:00:00,1.39487,1.40008,1.39234,1.39662,48388,0
2021-06-24 00:00:00,1.39664,1.39862,1.3889,1.39157,57173,0
2021-06-25 00:00:00,1.3915899999999999,1.3935,1.38708,1.3879000000000001,40364,0
2021-06-27 00:00:00,1.38845,1.38958,1.38754,1.38958,1065,0
2021-06-28 00:00:00,1.3896,1.39383,1.38689,1.3878,41401,0
2021-06-29 00:00:00,1.38782,1.38801,1.38137,1.38398,42448,0
2021-06-30 00:00:00,1.384,1.38723,1.37979,1.38279,47212,0
2021-07-01 00:00:00,1.38281,1.38337,1.3748,1.37586,49058,0
2021-07-02 00:00:00,1.37587,1.38439,1.3731200000000001,1.3829799999999999,52344,0
2021-07-04 00:00:00,1.38229,1.38337,1.38229,1.38308,1203,0
2021-07-05 00:00:00,1.3831,1.38615,1.38163,1.38528,28997,0
2021-07-06 00:00:00,1.3853,1.38977,1.37725,1.38035,58056,0
2021-07-07 00:00:00,1.38037,1.38414,1.37534,1.37991,60608,0
2021-07-08 00:00:00,1.37994,1.38016,1.37414,1.37893,74016,0
2021-07-09 00:00:00,1.3789500000000001,1.39005,1.37551,1.38999,62771,0
2021-07-11 00:00:00,1.38896,1.39008,1.38804,1.38981,1759,0
2021-07-12 00:00:00,1.38984,1.39096,1.38384,1.38858,47148,0
2021-07-13 00:00:00,1.3886,1.39046,1.37995,1.3805,52680,0
2021-07-14 00:00:00,1.38052,1.38917,1.3801,1.38561,56590,0
2021-07-15 00:00:00,1.38562,1.38985,1.38043,1.38276,63390,0
2021-07-16 00:00:00,1.38278,1.38618,1.37601,1.37632,50226,0
2021-07-16 13:00:00,1.38043,1.38214,1.3792200000000001,1.38031,4003,8
2021-07-16 14:00:00,1.38029,1.38041,1.37727,1.37897,5793,8
2021-07-16 15:00:00,1.3789500000000001,1.37948,1.37721,1.37827,2913,8
2021-07-16 16:00:00,1.37829,1.37887,1.37753,1.37777,1323,8
2021-07-16 17:00:00,1.3777599999999999,1.37843,1.37752,1.37757,1275,8
2021-07-16 18:00:00,1.37758,1.37788,1.3772199999999999,1.37762,384,8
2021-07-18 00:00:00,1.3766,1.37689,1.37568,1.37628,1107,0
